Institution Name,Students enrolled exclusively in distance education courses (EF2018A_DIST  Undergraduate total),Students enrolled in some but not all distance education courses (EF2018A_DIST  Undergraduate total),Student not enrolled in any distance education courses (EF2018A_DIST  Undergraduate total),Students enrolled exclusively in distance education courses (EF2018A_DIST  Graduate),Students enrolled in some but not all distance education courses (EF2018A_DIST  Graduate),Student not enrolled in any distance education courses (EF2018A_DIST  Graduate),Students enrolled exclusively in distance education courses (EF2017A_DIST_RV  Undergraduate total),Students enrolled in some but not all distance education courses (EF2017A_DIST_RV  Undergraduate total),Student not enrolled in any distance education courses (EF2017A_DIST_RV  Undergraduate total),Students enrolled exclusively in distance education courses (EF2017A_DIST_RV  Graduate),Students enrolled in some but not all distance education courses (EF2017A_DIST_RV  Graduate),Student not enrolled in any distance education courses (EF2017A_DIST_RV  Graduate),Students enrolled exclusively in distance education courses (EF2016A_DIST_RV  Undergraduate total),Students enrolled in some but not all distance education courses (EF2016A_DIST_RV  Undergraduate total),Student not enrolled in any distance education courses (EF2016A_DIST_RV  Undergraduate total),Students enrolled exclusively in distance education courses (EF2016A_DIST_RV  Graduate),Students enrolled in some but not all distance education courses (EF2016A_DIST_RV  Graduate),Student not enrolled in any distance education courses (EF2016A_DIST_RV  Graduate),Students enrolled exclusively in distance education courses (EF2015A_DIST_RV  Undergraduate total),Students enrolled in some but not all distance education courses (EF2015A_DIST_RV  Undergraduate total),Student not enrolled in any distance education courses (EF2015A_DIST_RV  Undergraduate total),Students enrolled exclusively in distance education courses (EF2015A_DIST_RV  Graduate),Students enrolled in some but not all distance education courses (EF2015A_DIST_RV  Graduate),Student not enrolled in any distance education courses (EF2015A_DIST_RV  Graduate),Students enrolled exclusively in distance education courses (EF2014A_DIST_RV  Undergraduate total),Students enrolled in some but not all distance education courses (EF2014A_DIST_RV  Undergraduate total),Student not enrolled in any distance education courses (EF2014A_DIST_RV  Undergraduate total),Students enrolled exclusively in distance education courses (EF2014A_DIST_RV  Graduate),Students enrolled in some but not all distance education courses (EF2014A_DIST_RV  Graduate),Student not enrolled in any distance education courses (EF2014A_DIST_RV  Graduate),Students enrolled exclusively in distance education courses (EF2013A_DIST_RV  Undergraduate total),Students enrolled in some but not all distance education courses (EF2013A_DIST_RV  Undergraduate total),Student not enrolled in any distance education courses (EF2013A_DIST_RV  Undergraduate total),Students enrolled exclusively in distance education courses (EF2013A_DIST_RV  Graduate),Students enrolled in some but not all distance education courses (EF2013A_DIST_RV  Graduate),Student not enrolled in any distance education courses (EF2013A_DIST_RV  Graduate),Students enrolled exclusively in distance education courses (EF2012A_DIST_RV  Undergraduate total),Students enrolled in some but not all distance education courses (EF2012A_DIST_RV  Undergraduate total),Student not enrolled in any distance education courses (EF2012A_DIST_RV  Undergraduate total),Students enrolled exclusively in distance education courses (EF2012A_DIST_RV  Graduate),Students enrolled in some but not all distance education courses (EF2012A_DIST_RV  Graduate),Student not enrolled in any distance education courses (EF2012A_DIST_RV  Graduate)
Educational Technical College-Recinto de Bayamon,NA,NA,149,NA,NA,NA,NA,NA,383,NA,NA,NA,NA,NA,293,NA,NA,NA,NA,NA,431,NA,NA,NA,0,0,497,NA,NA,NA,0,0,225,NA,NA,NA,0,0,474,NA,NA,NA
A T Still University of Health Sciences,NA,NA,NA,1532,0,2185,NA,NA,NA,1565,0,2158,NA,NA,NA,1421,2148,0,NA,NA,NA,1271,0,2086,NA,NA,NA,1183,0,2043,NA,NA,NA,1330,0,1984,NA,NA,NA,1196,0,1945
Aaniiih Nakoda College,NA,NA,150,NA,NA,NA,NA,NA,122,NA,NA,NA,NA,NA,149,NA,NA,NA,NA,NA,219,NA,NA,NA,NA,NA,291,NA,NA,NA,NA,NA,139,NA,NA,NA,NA,NA,221,NA,NA,NA
ABC Adult School,NA,NA,90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ABC Beauty Academy,NA,NA,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,72,NA,NA,NA,0,0,30,NA,NA,NA,0,0,35,NA,NA,NA,0,NA,48,NA,NA,NA
ABCO Technology,NA,NA,65,NA,NA,NA,NA,NA,50,NA,NA,NA,NA,NA,28,NA,NA,NA,NA,NA,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Abcott Institute,NA,NA,60,NA,NA,NA,NA,NA,151,NA,NA,NA,NA,NA,94,NA,NA,NA,NA,NA,132,NA,NA,NA,0,0,136,NA,NA,NA,NA,NA,151,NA,NA,NA,NA,NA,159,NA,NA,NA
Abdill Career College Inc,NA,NA,NA,NA,NA,NA,NA,NA,20,NA,NA,NA,NA,NA,22,NA,NA,NA,NA,NA,60,NA,NA,NA,NA,NA,41,NA,NA,NA,0,0,80,NA,NA,NA,0,0,76,NA,NA,NA
Abilene Christian University,32,460,3046,1286,46,334,20,341,3305,1033,69,377,1,257,3500,729,48,375,14,229,3517,371,28,385,15,152,3483,348,13,416,12,136,3579,322,26,386,17,152,3457,314,15,412
Abraham Baldwin Agricultural College,377,833,3081,NA,NA,NA,114,442,2838,NA,NA,NA,99,399,2977,NA,NA,NA,65,249,3079,NA,NA,NA,39,119,3300,NA,NA,NA,25,222,3147,NA,NA,NA,0,267,2966,NA,NA,NA
Abraham Lincoln University,47,NA,NA,170,NA,NA,30,NA,NA,167,NA,NA,25,NA,NA,139,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Academia Serrant Inc,NA,NA,290,NA,NA,NA,NA,NA,319,NA,NA,NA,NA,NA,409,NA,NA,NA,NA,NA,513,NA,NA,NA,0,0,355,NA,NA,NA,0,0,390,NA,NA,NA,0,0,379,NA,NA,NA
Academy College,3,96,0,NA,NA,NA,5,52,8,NA,NA,NA,6,96,14,NA,NA,NA,8,108,8,NA,NA,NA,6,113,8,NA,NA,NA,5,136,8,NA,NA,NA,1,147,4,NA,NA,NA
Academy Di Capelli-School of Cosmetology,NA,NA,208,NA,NA,NA,NA,NA,84,NA,NA,NA,NA,NA,34,NA,NA,NA,NA,NA,27,NA,NA,NA,0,0,27,NA,NA,NA,NA,NA,29,NA,NA,NA,NA,NA,29,NA,NA,NA
Academy di Firenze,NA,NA,14,NA,NA,NA,NA,NA,15,NA,NA,NA,NA,NA,9,NA,NA,NA,NA,NA,6,NA,NA,NA,0,0,12,NA,NA,NA,0,0,20,NA,NA,NA,0,0,10,NA,NA,NA
Academy for Careers and Technology,NA,NA,41,NA,NA,NA,NA,NA,39,NA,NA,NA,NA,NA,49,NA,NA,NA,NA,NA,53,NA,NA,NA,NA,NA,39,NA,NA,NA,NA,NA,50,NA,NA,NA,NA,NA,54,NA,NA,NA
Academy for Five Element Acupuncture,NA,NA,NA,NA,NA,59,NA,NA,NA,NA,NA,48,NA,NA,NA,NA,NA,72,NA,NA,NA,NA,NA,57,NA,NA,NA,NA,NA,71,NA,NA,NA,NA,NA,77,NA,NA,NA,NA,NA,84
Academy for Jewish Religion-California,NA,NA,NA,NA,NA,54,NA,NA,NA,NA,NA,53,NA,NA,NA,NA,NA,64,NA,NA,NA,NA,NA,64,NA,NA,NA,NA,NA,65,NA,NA,NA,NA,NA,63,NA,NA,NA,NA,NA,64
Academy for Nursing and Health Occupations,0,126,340,NA,NA,NA,0,82,326,NA,NA,NA,0,65,186,NA,NA,NA,0,58,302,NA,NA,NA,0,12,412,NA,NA,NA,NA,NA,694,NA,NA,NA,NA,NA,659,NA,NA,NA
Academy for Salon Professionals,NA,NA,81,NA,NA,NA,NA,NA,85,NA,NA,NA,NA,NA,76,NA,NA,NA,NA,NA,61,NA,NA,NA,0,0,65,NA,NA,NA,0,0,83,NA,NA,NA,0,0,84,NA,NA,NA
Academy of Art University,2673,2131,2247,1397,753,1415,2763,2131,2758,1464,736,1820,2888,2168,3247,1515,785,2005,2974,2209,3934,1574,736,2373,3393,2338,4313,1800,755,2613,3559,2321,4628,1962,950,2581,4201,2467,5133,2325,954,2791
Academy of Career Training,NA,NA,46,NA,NA,NA,NA,NA,50,NA,NA,NA,NA,NA,130,NA,NA,NA,NA,NA,71,NA,NA,NA,0,0,147,NA,NA,NA,NA,NA,152,NA,NA,NA,0,0,164,NA,NA,NA
Academy of Careers and Technology,NA,NA,155,NA,NA,NA,NA,NA,146,NA,NA,NA,NA,NA,152,NA,NA,NA,NA,NA,192,NA,NA,NA,NA,NA,204,NA,NA,NA,NA,NA,124,NA,NA,NA,NA,NA,134,NA,NA,NA
Academy of Chinese Culture and Health Sciences,NA,NA,NA,NA,NA,103,NA,NA,NA,NA,NA,99,NA,NA,NA,NA,NA,126,NA,NA,NA,NA,NA,136,NA,NA,NA,NA,NA,146,NA,NA,NA,NA,NA,132,NA,NA,NA,NA,NA,107
Academy of Cosmetology,NA,NA,119,NA,NA,NA,NA,NA,124,NA,NA,NA,NA,NA,119,NA,NA,NA,NA,NA,114,NA,NA,NA,0,0,137,NA,NA,NA,0,0,144,NA,NA,NA,0,0,204,NA,NA,NA
Academy of Cosmetology,NA,NA,NA,NA,NA,NA,NA,NA,24,NA,NA,NA,NA,NA,37,NA,NA,NA,NA,NA,50,NA,NA,NA,0,0,63,NA,NA,NA,0,0,64,NA,NA,NA,NA,NA,59,NA,NA,NA
Academy of Cosmetology,NA,NA,35,NA,NA,NA,NA,NA,31,NA,NA,NA,NA,NA,35,NA,NA,NA,NA,NA,31,NA,NA,NA,0,0,29,NA,NA,NA,0,0,42,NA,NA,NA,0,0,48,NA,NA,NA
Academy of Cosmetology and Esthetics,NA,NA,28,NA,NA,NA,NA,NA,27,NA,NA,NA,NA,NA,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Academy of Cosmetology and Esthetics NYC,NA,NA,63,NA,NA,NA,NA,NA,87,NA,NA,NA,NA,NA,91,NA,NA,NA,NA,NA,91,NA,NA,NA,NA,NA,107,NA,NA,NA,0,0,130,NA,NA,NA,0,0,128,NA,NA,NA
Academy of Esthetics and Cosmetology,NA,NA,50,NA,NA,NA,NA,NA,35,NA,NA,NA,NA,NA,33,NA,NA,NA,NA,NA,50,NA,NA,NA,NA,NA,36,NA,NA,NA,NA,NA,23,NA,NA,NA,NA,NA,33,NA,NA,NA
Academy of Hair Design-Beaumont,NA,NA,57,NA,NA,NA,NA,NA,60,NA,NA,NA,NA,NA,60,NA,NA,NA,NA,NA,65,NA,NA,NA,0,0,77,NA,NA,NA,NA,NA,86,NA,NA,NA,0,0,86,NA,NA,NA
Academy of Hair Design-Grenada,NA,NA,42,NA,NA,NA,NA,NA,29,NA,NA,NA,NA,NA,23,NA,NA,NA,NA,NA,21,NA,NA,NA,0,0,55,NA,NA,NA,0,0,40,NA,NA,NA,NA,NA,42,NA,NA,NA
Academy of Hair Design-Jackson,NA,NA,53,NA,NA,NA,NA,NA,57,NA,NA,NA,NA,NA,81,NA,NA,NA,NA,NA,62,NA,NA,NA,0,0,86,NA,NA,NA,0,0,121,NA,NA,NA,0,0,116,NA,NA,NA
Academy of Hair Design-Jasper,NA,NA,42,NA,NA,NA,NA,NA,42,NA,NA,NA,NA,NA,38,NA,NA,NA,NA,NA,44,NA,NA,NA,0,0,59,NA,NA,NA,NA,NA,57,NA,NA,NA,NA,NA,57,NA,NA,NA
Academy of Hair Design-Las Vegas,NA,NA,225,NA,NA,NA,NA,NA,239,NA,NA,NA,NA,NA,222,NA,NA,NA,NA,NA,48,NA,NA,NA,0,0,45,NA,NA,NA,0,0,154,NA,NA,NA,0,0,36,NA,NA,NA
Academy of Hair Design-Lufkin,NA,NA,84,NA,NA,NA,NA,NA,80,NA,NA,NA,NA,NA,82,NA,NA,NA,NA,NA,106,NA,NA,NA,0,0,96,NA,NA,NA,NA,NA,99,NA,NA,NA,NA,NA,107,NA,NA,NA
Academy of Hair Design-Oklahoma City,NA,NA,38,NA,NA,NA,NA,NA,46,NA,NA,NA,NA,NA,57,NA,NA,NA,NA,NA,41,NA,NA,NA,0,0,38,NA,NA,NA,0,0,55,NA,NA,NA,0,0,46,NA,NA,NA
Academy of Hair Design-Pearl,NA,NA,47,NA,NA,NA,NA,NA,52,NA,NA,NA,NA,NA,44,NA,NA,NA,NA,NA,49,NA,NA,NA,0,0,50,NA,NA,NA,0,0,65,NA,NA,NA,0,0,73,NA,NA,NA
Academy of Hair Design-Springfield,NA,NA,242,NA,NA,NA,NA,NA,200,NA,NA,NA,NA,NA,177,NA,NA,NA,NA,NA,140,NA,NA,NA,0,0,101,NA,NA,NA,0,0,96,NA,NA,NA,0,0,92,NA,NA,NA
Academy of Hair Technology,NA,NA,77,NA,NA,NA,NA,NA,87,NA,NA,NA,NA,NA,92,NA,NA,NA,NA,NA,99,NA,NA,NA,0,0,77,NA,NA,NA,0,0,84,NA,NA,NA,NA,NA,100,NA,NA,NA
Academy of Interactive Entertainment,NA,NA,147,NA,NA,NA,NA,NA,142,NA,NA,NA,NA,NA,129,NA,NA,NA,NA,NA,106,NA,NA,NA,0,0,77,NA,NA,NA,0,0,43,NA,NA,NA,NA,NA,NA,NA,NA,NA
Academy of Interactive Entertainment,NA,NA,64,NA,NA,NA,NA,NA,61,NA,NA,NA,NA,NA,84,NA,NA,NA,NA,NA,59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Academy of Massage and Bodywork,NA,NA,83,NA,NA,NA,NA,NA,95,NA,NA,NA,NA,NA,73,NA,NA,NA,NA,NA,74,NA,NA,NA,0,0,48,NA,NA,NA,0,0,68,NA,NA,NA,0,0,83,NA,NA,NA
Academy of Natural Therapy Inc,NA,NA,46,NA,NA,NA,NA,NA,50,NA,NA,NA,NA,NA,52,NA,NA,NA,NA,NA,57,NA,NA,NA,NA,NA,54,NA,NA,NA,NA,NA,69,NA,NA,NA,NA,NA,70,NA,NA,NA
Academy of Professional Cosmetology,NA,NA,77,NA,NA,NA,NA,NA,67,NA,NA,NA,NA,NA,65,NA,NA,NA,NA,NA,48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Academy of Salon and Spa,NA,NA,53,NA,NA,NA,NA,NA,58,NA,NA,NA,NA,NA,73,NA,NA,NA,NA,NA,71,NA,NA,NA,0,0,102,NA,NA,NA,0,0,75,NA,NA,NA,NA,NA,94,NA,NA,NA
Academy of Salon Professionals,NA,NA,38,NA,NA,NA,NA,NA,53,NA,NA,NA,NA,NA,38,NA,NA,NA,NA,NA,33,NA,NA,NA,NA,NA,25,NA,NA,NA,0,0,26,NA,NA,NA,NA,NA,NA,NA,NA,NA
Academy of Vocal Arts,NA,NA,NA,NA,NA,27,NA,NA,NA,NA,NA,26,NA,NA,NA,NA,NA,28,NA,NA,NA,NA,NA,28,NA,NA,NA,NA,NA,28,NA,NA,NA,NA,NA,29,NA,NA,NA,NA,NA,25
Acaydia School of Aesthetics,NA,NA,94,NA,NA,NA,NA,NA,88,NA,NA,NA,NA,NA,76,NA,NA,NA,NA,NA,49,NA,NA,NA,0,0,22,NA,NA,NA,0,0,13,NA,NA,NA,0,0,19,NA,NA,NA
Access Careers,NA,NA,44,NA,NA,NA,NA,NA,47,NA,NA,NA,NA,NA,13,NA,NA,NA,NA,NA,49,NA,NA,NA,0,0,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ace Cosmetology and Barber Training Center,NA,NA,89,NA,NA,NA,NA,NA,62,NA,NA,NA,NA,NA,36,NA,NA,NA,NA,NA,28,NA,NA,NA,0,0,14,NA,NA,NA,0,0,16,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ace Institute of Technology,NA,NA,247,NA,NA,NA,NA,NA,215,NA,NA,NA,NA,NA,233,NA,NA,NA,NA,NA,140,NA,NA,NA,0,NA,162,NA,NA,NA,0,0,119,NA,NA,NA,0,0,105,NA,NA,NA
Acupuncture and Integrative Medicine College-Berkeley,NA,NA,NA,NA,NA,90,NA,NA,NA,NA,NA,81,NA,NA,NA,NA,NA,91,NA,NA,NA,NA,NA,105,NA,NA,NA,NA,NA,138,NA,NA,NA,NA,NA,140,NA,NA,NA,NA,NA,157
Acupuncture and Massage College,NA,NA,33,NA,NA,136,NA,NA,37,NA,NA,114,NA,NA,31,NA,NA,123,NA,NA,33,NA,NA,116,NA,NA,37,NA,NA,121,NA,NA,35,NA,NA,138,NA,NA,27,NA,NA,145
Adams State University,386,142,1469,1041,26,46,330,172,1458,1230,81,43,262,117,1635,850,316,190,336,166,1608,1002,21,271,173,259,1724,918,31,49,144,164,1976,0,1,926,355,147,1916,736,75,61
Adelphi University,39,911,4441,229,403,2123,33,730,4503,213,333,2166,51,608,4546,228,263,1991,27,172,4653,143,62,2199,49,657,4365,138,159,2242,23,446,4571,13,144,2448,39,273,4791,1,101,2654
Adirondack Community College,172,736,2819,NA,NA,NA,171,712,3009,NA,NA,NA,203,610,2963,NA,NA,NA,177,628,3188,NA,NA,NA,152,660,3435,NA,NA,NA,148,608,3474,NA,NA,NA,162,519,3306,NA,NA,NA
Adler Graduate School,NA,NA,NA,70,123,104,NA,NA,NA,53,128,136,NA,NA,NA,4,294,0,NA,NA,NA,26,89,196,NA,NA,NA,33,48,287,NA,NA,NA,36,57,287,NA,NA,NA,21,88,226
Adler University,NA,NA,NA,258,86,1052,NA,NA,NA,290,71,736,NA,NA,NA,270,118,711,NA,NA,NA,153,73,762,NA,NA,NA,170,157,677,NA,NA,NA,74,791,116,NA,NA,NA,77,212,689
Adrian College,NA,NA,1817,5,15,19,NA,NA,1671,3,8,27,NA,NA,1653,NA,NA,31,NA,NA,1687,NA,NA,28,NA,NA,1622,NA,NA,19,NA,NA,1646,NA,NA,9,NA,NA,1804,NA,NA,3
Adrian's College of Beauty Turlock,NA,NA,101,NA,NA,NA,NA,NA,119,NA,NA,NA,NA,NA,96,NA,NA,NA,NA,NA,136,NA,NA,NA,0,0,133,NA,NA,NA,0,0,157,NA,NA,NA,0,0,149,NA,NA,NA
Adult and Community Education-Hudson,0,136,0,NA,NA,NA,0,129,0,NA,NA,NA,0,112,1,NA,NA,NA,0,115,0,NA,NA,NA,0,109,0,NA,NA,NA,0,140,0,NA,NA,NA,NA,NA,178,NA,NA,NA
Adult and Continuing Education-BCTS,NA,NA,70,NA,NA,NA,NA,NA,78,NA,NA,NA,NA,NA,60,NA,NA,NA,NA,NA,82,NA,NA,NA,NA,NA,90,NA,NA,NA,NA,NA,105,NA,NA,NA,NA,NA,113,NA,NA,NA
Advance Beauty College,NA,NA,487,NA,NA,NA,NA,NA,364,NA,NA,NA,NA,NA,389,NA,NA,NA,NA,NA,365,NA,NA,NA,0,0,474,NA,NA,NA,0,0,506,NA,NA,NA,0,0,466,NA,NA,NA
Advance Beauty Techs Academy,NA,NA,73,NA,NA,NA,NA,NA,81,NA,NA,NA,NA,NA,97,NA,NA,NA,NA,NA,62,NA,NA,NA,NA,NA,50,NA,NA,NA,NA,NA,61,NA,NA,NA,0,0,50,NA,NA,NA
Advance Science International College,NA,NA,9,NA,NA,NA,NA,NA,69,NA,NA,NA,NA,NA,22,NA,NA,NA,NA,NA,44,NA,NA,NA,0,0,34,NA,NA,NA,0,0,39,NA,NA,NA,0,0,8,NA,NA,NA
Advanced Barber College and Hair Design,NA,NA,165,NA,NA,NA,NA,NA,232,NA,NA,NA,NA,NA,223,NA,NA,NA,NA,NA,206,NA,NA,NA,0,0,242,NA,NA,NA,0,0,164,NA,NA,NA,0,0,96,NA,NA,NA
Advanced Beauty College,NA,NA,44,NA,NA,NA,NA,NA,48,NA,NA,NA,NA,NA,37,NA,NA,NA,NA,NA,54,NA,NA,NA,0,0,58,NA,NA,NA,0,0,60,NA,NA,NA,0,0,96,NA,NA,NA
Advanced Career Institute,NA,NA,464,NA,NA,NA,NA,NA,352,NA,NA,NA,NA,NA,325,NA,NA,NA,NA,NA,234,NA,NA,NA,NA,0,253,NA,NA,NA,0,0,241,NA,NA,NA,0,0,169,NA,NA,NA
Advanced College,0,8,1,NA,NA,NA,0,0,44,NA,NA,NA,1,9,90,NA,NA,NA,1,7,73,NA,NA,NA,15,1,109,NA,NA,NA,18,7,202,NA,NA,NA,13,76,45,NA,NA,NA
Advanced College of Cosmetology,NA,NA,27,NA,NA,NA,NA,NA,21,NA,NA,NA,NA,NA,32,NA,NA,NA,NA,NA,35,NA,NA,NA,0,0,45,NA,NA,NA,NA,NA,51,NA,NA,NA,0,0,48,NA,NA,NA
Advanced College-Stockton,0,2,51,NA,NA,NA,0,0,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Advanced Technology Institute,NA,NA,609,NA,NA,NA,NA,NA,464,NA,NA,NA,NA,NA,599,NA,NA,NA,NA,NA,633,NA,NA,NA,NA,NA,717,NA,NA,NA,NA,NA,824,NA,NA,NA,NA,NA,787,NA,NA,NA
Advanced Training Associates,NA,NA,96,NA,NA,NA,NA,NA,101,NA,NA,NA,NA,NA,98,NA,NA,NA,NA,NA,103,NA,NA,NA,NA,NA,85,NA,NA,NA,NA,NA,103,NA,NA,NA,NA,NA,82,NA,NA,NA
Advanced Training Institute,NA,NA,669,NA,NA,NA,NA,NA,448,NA,NA,NA,NA,NA,442,NA,NA,NA,NA,NA,505,NA,NA,NA,0,0,436,NA,NA,NA,0,0,308,NA,NA,NA,0,0,180,NA,NA,NA
Advanced Welding Institute,NA,NA,56,NA,NA,NA,NA,NA,42,NA,NA,NA,NA,NA,38,NA,NA,NA,NA,NA,25,NA,NA,NA,0,0,25,NA,NA,NA,0,0,53,NA,NA,NA,0,0,35,NA,NA,NA
Advantage Career Institute,NA,NA,104,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Advantage Technical College,NA,NA,46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Advantage Technical College,NA,NA,226,NA,NA,NA,NA,NA,95,NA,NA,NA,NA,NA,63,NA,NA,NA,NA,NA,44,NA,NA,NA,0,0,50,NA,NA,NA,NA,NA,40,NA,NA,NA,0,0,49,NA,NA,NA
AdventHealth University,223,530,588,91,2,271,317,398,776,63,0,255,516,318,825,25,0,228,597,50,1159,2,0,176,776,17,1157,0,0,140,970,16,1174,NA,NA,133,1230,11,1335,NA,NA,95
Advertising Art Educational Services DBA School of Advertising Art,NA,NA,210,NA,NA,NA,NA,NA,211,NA,NA,NA,NA,NA,194,NA,NA,NA,NA,NA,172,NA,NA,NA,NA,NA,139,NA,NA,NA,NA,NA,140,NA,NA,NA,NA,NA,114,NA,NA,NA
Aesthetic Science Institute,NA,NA,54,NA,NA,NA,NA,NA,70,NA,NA,NA,NA,NA,35,NA,NA,NA,NA,NA,76,NA,NA,NA,0,0,66,NA,NA,NA,0,0,79,NA,NA,NA,0,0,81,NA,NA,NA
Agnes Scott College,0,0,996,NA,NA,34,0,0,921,NA,NA,NA,0,0,927,NA,NA,NA,0,0,902,NA,NA,NA,0,0,873,NA,NA,NA,0,0,915,NA,NA,NA,0,0,885,NA,NA,NA
AI Miami International University of Art and Design,0,631,711,0,0,42,0,641,778,0,0,42,0,1175,689,0,0,60,0,1349,1064,0,0,65,0,1376,1404,0,8,58,0,548,2619,0,0,41,0,414,3013,NA,NA,90
Aiken School of Cosmetology and Barbering,NA,NA,65,NA,NA,NA,NA,NA,66,NA,NA,NA,NA,NA,31,NA,NA,NA,NA,NA,36,NA,NA,NA,0,0,37,NA,NA,NA,0,0,33,NA,NA,NA,0,0,39,NA,NA,NA
Aiken Technical College,225,706,1336,NA,NA,NA,288,804,1307,NA,NA,NA,248,748,1463,NA,NA,NA,235,861,1263,NA,NA,NA,208,759,1384,NA,NA,NA,174,665,1744,NA,NA,NA,216,732,1957,NA,NA,NA
Aims Community College,585,1133,4532,NA,NA,NA,333,1704,3945,NA,NA,NA,276,1387,3989,NA,NA,NA,328,1270,3700,NA,NA,NA,403,1122,3476,NA,NA,NA,377,1043,3535,NA,NA,NA,367,854,3762,NA,NA,NA
Air Force Institute of Technology-Graduate School of Engineering & Management,NA,NA,NA,203,43,635,NA,NA,NA,214,43,641,NA,NA,NA,213,79,674,NA,NA,NA,179,731,0,NA,NA,NA,153,0,707,NA,NA,NA,100,34,719,NA,NA,NA,123,0,678
Akron School of Practical Nursing,NA,NA,NA,NA,NA,NA,NA,NA,70,NA,NA,NA,NA,NA,61,NA,NA,NA,NA,NA,40,NA,NA,NA,NA,NA,47,NA,NA,NA,NA,NA,34,NA,NA,NA,NA,NA,46,NA,NA,NA
Alabama A & M University,76,899,4168,44,190,729,71,843,4124,50,150,763,38,821,3992,16,62,930,38,760,3705,7,60,1057,26,440,3744,0,68,1055,0,795,3256,0,25,944,0,233,3860,0,17,743
Alabama College of Osteopathic Medicine,NA,NA,NA,NA,NA,654,NA,NA,NA,NA,NA,608,NA,NA,NA,NA,NA,605,NA,NA,NA,NA,NA,460,NA,NA,NA,NA,NA,316,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alabama School of Nail Technology & Cosmetology,NA,NA,25,NA,NA,NA,NA,NA,25,NA,NA,NA,NA,NA,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alabama Southern Community College,NA,NA,NA,NA,NA,NA,3,166,813,NA,NA,NA,39,272,1051,NA,NA,NA,25,296,1065,NA,NA,NA,28,295,1075,NA,NA,NA,18,333,998,NA,NA,NA,14,152,1146,NA,NA,NA
Alabama State College of Barber Styling,NA,NA,15,NA,NA,NA,NA,NA,13,NA,NA,NA,NA,NA,13,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,25,NA,NA,NA,0,0,26,NA,NA,NA,NA,NA,26,NA,NA,NA
Alabama State University,360,243,3300,77,53,380,334,272,3602,61,59,432,305,217,4205,78,38,475,186,309,4269,124,54,441,5,1384,3423,83,204,420,30,1135,4191,62,225,432,0,1620,3510,0,376,310
Alamance Community College,550,997,2701,NA,NA,NA,526,926,2732,NA,NA,NA,547,985,2804,NA,NA,NA,570,1134,2827,NA,NA,NA,396,763,3200,NA,NA,NA,431,817,2913,NA,NA,NA,406,1186,3114,NA,NA,NA
Alamo City Barber College,NA,NA,157,NA,NA,NA,NA,NA,175,NA,NA,NA,NA,NA,178,NA,NA,NA,NA,NA,452,NA,NA,NA,0,0,113,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alamo Community College District Central Office,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
